TAG DATABASE: PHYSICAL & APPEARANCE
========================================
Total tags: 4354
Categories: 16
Last updated: 2026-02-26

================================================================================
SPECIES & BODY TYPE
================================================================================
african_wild_dog | Painted dog species | species:canid
brown_breasts | Brown-coloured breasts | anatomy:torso
brown_claws | Brown-coloured claws | anatomy:limbs
brown_clothing | Brown-coloured clothing | clothing:general
brown_coat | Brown-coloured coat | coat:colour
brown_feathers | Brown-coloured feathers | coat:colour
brown_horn | Brown-coloured horn | head:general
brown_horns | Brown-coloured horns | head:general
brown_nipples | Brown-coloured nipples | anatomy:torso
brown_pawpads | Brown-coloured pawpads | anatomy:limbs
brown_paws | Brown-coloured paws | anatomy:limbs
brown_penis | A penis rendered in brown, the colour the noted variant. | genitalia:male
brown_scales | Brown-coloured scales | coat:colour
brown_sheath | A genital sheath rendered in brown, the colour the noted variant. | genitalia:male
brown_shorts | Brown-coloured shorts | clothing:general
brown_skin | Brown-coloured skin | coat:colour
brown_spots | Brown-coloured spots | coat:pattern
brown_stripes | Brown-coloured stripes | coat:pattern
brown_sweater | Brown-coloured sweater | clothing:general
brown_sweater_vest | Brown sweater vest | clothing:general
brown_tail | Brown-coloured tail | anatomy:tail
brown_tail_tip | Brown-coloured tail tip | anatomy:tail
brown_thighhighs | Brown-coloured thighhighs | clothing:general
brown_vulva | A vulva rendered in brown, the colour the noted variant. | genitalia:female
brown_wings | Wings coloured brown, the feather or membrane rendered in earth tone. | anatomy:fantasy
bulging_breasts | Bulging breasts | anatomy:torso
bursting_breasts | Bursting breasts | anatomy:torso
butt_blush | Flushed buttocks | anatomy:rear
butt_crack | Visible buttock crack | anatomy:rear
butt_hair | Hair on buttocks | coat:texture
butt_tuft | Tuft of fur on buttocks | coat:texture
butterfly | Butterfly species | species:insect
butterfly-shaped_pupils | Butterfly-shaped pupils | head:face
butterfly_brooch | Butterfly brooch (species-related) | species:insect
butterfly_earrings | Butterfly earrings | clothing:general
butterfly_hair_ornament | Butterfly hair ornament (species-related) | species:insect
butterfly_net | Butterfly net (species-related) | species:insect
butterfly_on_hand | Butterfly on hand (species-related) | species:insect
butterfly_ornament | Butterfly ornament (species-related) | species:insect
butterfly_print | Butterfly print (species-related) | species:insect
butterfly_sitting | Butterfly sitting (species-related) | species:insect
butterfly_tattoo | Butterfly tattoo (species-related) | species:insect
butterfly_wings | Insect-style paired wings with the shape and patterns of butterfly anatomy. | anatomy:fantasy
button_eyes | Button eyes | eyes:colour
button_gap | Gap between buttons | clothing:general
button_pop | Button popping off clothing | clothing:general
buttplug_in_ass | Buttplug in ass | anatomy:rear
buttplug_tail | Buttplug tail | anatomy:tail
cable_tail | Cable tail | anatomy:tail
camo_clothing | Camo clothing | clothing:general
canid_demon | A demonic character with canine features, wolf or dog shape plus infernal traits. | species:mythical
canid_humanoid | A humanoid with canid (dog, wolf, fox) features on a human-shaped body. | species:other
canid_taur | A taur character with canid body as the lower quadruped portion. | species:other
canine_vulva | A canine-style vulva, dog-specific anatomy positioned lower between the legs. | genitalia:female
caprine_horn | Caprine-style horn | head:general
cargo_shorts | Cargo shorts | clothing:general
cassock | Cassock | clothing:general
cat_paws | Cat-style paws | anatomy:limbs
cat_tail | Cat-style tail | anatomy:tail
cervine_penis | A deer or elk-style penis, slim and tapered with species-specific anatomy. | genitalia:male
cetacean_tail | Cetacean-style tail | anatomy:tail
checkered_clothing | Checkered clothing | clothing:general
cheek_spots | Cheek spots | coat:pattern
chest_belt | Chest belt | clothing:general
chest_fur | Chest fur | coat:colour
chest_harness | Chest harness | clothing:general
chestnut_mouth | Chestnut mouth | head:face
chihaya_(clothing) | Chihaya (clothing) | clothing:general
child | Pre-adolescent child character, small build and juvenile facial proportions, usually outside any sexual framing. | age
chinese_clothing | Chinese clothing | clothing:general
chinese_knot | A decorative Chinese knot pattern incorporated into the scene or clothing. | genitalia:male
chocolate_on_breasts | Chocolate on breasts | anatomy:torso
christmas_clothing | Christmas clothing | clothing:general
christmas_sweater | Christmas sweater | clothing:general
chubby_cheeks | Chubby cheeks | head:face
circumcision_scar | Circumcision scar | head:face
classic_lolita | Classic lolita clothing style | clothing:general
classical_unicorn | A unicorn rendered in traditional heraldic style, cloven-hooved and goat-bearded. | species:mythical
claw_fingers | Claw fingers | anatomy:limbs
claw_ring | Claw ring | clothing:general
clawed_gauntlets | Clawed gauntlets | clothing:general
cleft_tail | Cleft tail | anatomy:tail
cloacal | Cloacal anatomy or function, referring to the single combined reproductive-excretory opening. | genitalia:ambiguous
cloacal_penis | A penis that emerges from and retracts into a cloaca, reptilian or avian anatomy. | genitalia:male
clothed_anthro | Clothed anthro | clothing:general
clothed_feral | Clothed feral | clothing:general
clothed_robot | Clothed robot | clothing:general
clothes_between_breasts | Clothes between breasts | anatomy:torso
clothes_between_thighs | Clothes between thighs | clothing:general
clothing | Wearing clothing (unspecified) | clothing:general
clothing_around_legs | Clothing around legs | anatomy:limbs
clothing_around_one_leg | Clothing around one leg | anatomy:limbs
clothing_cutout | Clothing cutout | clothing:general
clothing_pull | Clothing pull | clothing:general
clothing_request | Clothing request | clothing:general
coat | Wearing a coat | clothing:general
coat_dress | Coat dress | clothing:general
coat_on_shoulders | Coat on shoulders | anatomy:torso
coat_partially_removed | Coat partially removed | clothing:general
coattails | Rear flaps of a long coat | clothing:general
cockatoo | Cockatoo species | species:avian
cocker_spaniel | Cocker spaniel (species-related) | species:canid
cockroach | Cockroach species | species:insect
cocktail_dress | Cocktail dress | clothing:general
coke-bottle_glasses | Coke-bottle glasses | clothing:general
colored_cum | Ejaculate rendered in an unusual colour, fantasy or alien anatomy. | genitalia:male
colored_edge_panties | Colored edge panties | clothing:general
colored_edge_underwear | Colored edge underwear | clothing:general
colored_inner_animal_ears | Colored inner animal ears | head:ears
colored_inner_hair | Colored inner hair | hair:colour
colored_nipples | Colored nipples | anatomy:torso
colored_pubic_hair | Colored pubic hair | hair:colour
colored_seam_underwear | Colored seam underwear | clothing:general
colored_skin | Colored skin | coat:colour
colored_teeth | Colored teeth | head:mouth
colored_tongue | Colored tongue | head:mouth
common_hippopotamus | The common hippo species specifically, distinguished from the pygmy hippo variant. | species:other
comparing_penis | Characters holding penises side by side for comparison, the measure-off the scene focus. | genitalia:male
cone_horns | Cone horns | head:general
convenient_tail | Convenient tail | anatomy:tail
cotton_tail | Cotton tail | anatomy:tail
countershade_balls | Testicles shaded lighter than the surrounding body fur, the natural countershading pattern. | genitalia:male
countershade_breasts | Countershade breasts | anatomy:torso
countershade_butt | Countershade butt | anatomy:rear
countershade_fur | Countershade fur | coat:colour
countershade_scales | Countershade scales | coat:colour
countershade_tail | Countershade tail | anatomy:tail
countershade_thighs | Countershaded thigh fur | coat:pattern
covered_abs | Covered abs | anatomy:torso
covered_nipples | Covered nipples | anatomy:torso
covered_penis | A penis obscured by clothing, fabric, or an object, hidden from view. | genitalia:male
covered_testicles | Testicles obscured by clothing, fabric, or an object, hidden from view. | genitalia:male
covering_ass | Covering ass | anatomy:rear
covering_nipples | Covering nipples | anatomy:torso
covering_one_breast | Covering one breast | anatomy:torso
cow_horns | Cow-style horns | head:general
cow_print_thigh_highs | Cow print thigh highs (species-related) | species:bovid
cow_print_thighhighs | Cow print thighhighs | clothing:general
cow_tail | Cow-style tail | anatomy:tail
cracked_skin | Cracked skin | coat:colour
crocodilian_tail | Crocodilian tail | anatomy:tail
cropped_sweater | Cropped sweater | clothing:general
crotch_breasts | Crotch breasts | anatomy:torso
crotchless_clothing | Crotchless clothing | clothing:general
crystal_wings | Wings made of crystal or crystalline material rather than feathers or membrane. | anatomy:fantasy
cube_hair_ornament | Cube-shaped hair accessory | hair:style
cuirass | Torso armour piece | clothing:general
cum_between_breasts | Cum between breasts | anatomy:torso
cum_dripping_from_penis | Ejaculate visibly dripping from the tip of the penis after climax. | genitalia:male
cum_from_ass | Cum from ass | anatomy:rear
cum_from_nose | Cum from nose | head:face
cum_from_penis | Ejaculate emerging from a penis, either during or after climax. | genitalia:male
cum_from_vagina | Ejaculate visibly emerging from a vagina after internal release. | genitalia:female
cum_in_ass | Cum in ass | anatomy:rear
cum_in_clothes | Cum in clothes | clothing:general
cum_in_clothing | Cum in clothing | clothing:general
cum_in_hair | Cum in hair | hair:colour
cum_in_nose | Cum in nose | head:face
cum_in_pussy | Ejaculate deposited inside the vagina after internal release, the creampie visible inside. | genitalia:female
cum_in_underwear | Cum in underwear | clothing:general
cum_in_vagina | Ejaculate deposited inside the vagina, the internal release the framing. | genitalia:female
cum_on_anus | Cum on anus | anatomy:rear
cum_on_arm | Cum on arm | anatomy:limbs
cum_on_balls | Ejaculate coating the testicles, post-climax pooling on the sack. | genitalia:male
cum_on_belly | Cum on belly | anatomy:torso
cum_on_breasts | Cum on breasts | anatomy:torso
cum_on_butt | Cum on butt | anatomy:rear
cum_on_clothes | Cum on clothes | clothing:general
cum_on_clothing | Cum on clothing | clothing:general
cum_on_fur | Cum on fur | coat:colour
cum_on_hair | Cum on hair | hair:colour
cum_on_hands | Cum on hands | anatomy:limbs
cum_on_knot | Ejaculate coating the base-knot of a canine-style penis, cum pooled around the swelling. | genitalia:male
cum_on_leg | Cum on leg | anatomy:limbs
cum_on_legs | Cum on legs | anatomy:limbs
cum_on_muzzle | Cum on muzzle | head:face
cum_on_own_balls | A character's own ejaculate landing on their own testicles. | genitalia:male
cum_on_own_belly | Cum on own belly | anatomy:torso
cum_on_own_chest | Cum on own chest | anatomy:torso
cum_on_own_leg | Cum on own leg | anatomy:limbs
cum_on_own_penis | A character's own ejaculate landing on their own penis. | genitalia:male
cum_on_own_tongue | Cum on own tongue | head:mouth
cum_on_penis | Ejaculate coating a penis, whether one's own or a partner's. | genitalia:male
cum_on_pussy | Ejaculate coating the vulva, external rather than internal deposit. | genitalia:female
cum_on_tail | Cum on tail | anatomy:tail
cum_on_vulva | Ejaculate coating the vulva, external deposit on the external genitalia. | genitalia:female
cum_through_clothing | Cum through clothing | clothing:general
cum_through_underwear | Cum through underwear | clothing:general
curled_horn | Curled horn | head:general
curled_horns | Curled horns | head:general
curling_tail | Curling tail | anatomy:tail
curved_horn | Curved horn | head:general
curved_penis | A penis with a visible bend or curve rather than straight. | genitalia:male
curved_tail | Curved tail | anatomy:tail
dark-skinned_female | Female character with dark skin tone, applied to humans or to anthros whose visible skin (not fur) reads as dark. | gender
dark-skinned_male | Male character with dark skin tone, applied to humans or to anthros whose visible skin (not fur) reads as dark. | gender
dark_clothing | Dark-coloured clothing | clothing:general
dark_penis | A penis rendered in a dark colour, the shade the noted variant. | genitalia:male
darkened_balls | Testicles shaded or rendered deliberately darker than the surrounding body. | genitalia:male
darkened_penis | A penis shaded or rendered deliberately darker than the surrounding body. | genitalia:male
darkened_vulva | A vulva shaded or rendered deliberately darker than the surrounding body. | genitalia:female
deathclaw | A Fallout universe creature, hulking reptilian mutant with massive clawed hands. | species:other
deep_skin | Deep-coloured skin | coat:colour
deer_antlers | Deer-style antlers | head:general
deer_tail | Deer-style tail | anatomy:tail
demon_horns | Demon-style horns | head:general
demon_tail | Demon-style tail | anatomy:tail
demon_wings | Bat-style leathery wings in the demonic aesthetic, clawed at the top spar. | anatomy:fantasy
denim_clothing | Denim clothing | clothing:general
denim_shorts | Denim shorts | clothing:general
detached_sheath | A genital sheath shown separate from the body, fantasy or detached anatomy. | genitalia:male
detached_wings | Wings floating near the body without visible attachment, magical or fantasy anatomy. | anatomy:fantasy
detailed_anus | Detailed anus | anatomy:rear
detailed_bulge | A carefully-rendered clothed bulge showing visible shape of the penis through fabric. | genitalia:male
detailed_fur | Detailed fur | coat:colour
dewclaw | Dewclaw on limb | anatomy:limbs
dewclaw_hooves | Dewclaw hooves | anatomy:limbs
diagonal-striped_bowtie | Diagonal-striped bowtie | clothing:general
diagonal-striped_clothes | Diagonal-striped clothes | clothing:general
diagonal-striped_necktie | Diagonal-striped necktie | clothing:general
diaper_under_clothing | Diaper under clothing | clothing:general
digimon_(species) | A species from the Digimon franchise, the digital monsters as character type. | species:other
dildo_in_vagina | A dildo currently inserted in a vagina, visible during use. | genitalia:female
dipstick_tail | Dipstick tail | anatomy:tail
dirty_clothing | Dirty clothing | clothing:general
discarded_clothing | Discarded clothing | clothing:general
disembodied_penis | A penis visible in frame without the body attached to it, detached or off-screen owner. | genitalia:male
dog_penis | A dog-style penis with knot, pointed tip, and species-specific anatomy. | genitalia:male
dog_tail | Dog-style tail | anatomy:tail
dolphin_shorts | Dolphin shorts | clothing:general
dragon's_crown | Dragon's crown | clothing:general
dragon_ball | Reference to the Dragon Ball franchise, scene drawing on its characters or setting. | species:mythical
dragon_ball_(classic) | Reference to the original Dragon Ball series specifically, pre-Z era. | species:mythical
dragon_ball_fighterz | Reference to the Dragon Ball FighterZ game, scene drawing on its style or roster. | species:mythical
dragon_ball_gt | Reference to Dragon Ball GT, scene drawing on its characters or events. | species:mythical
dragon_ball_super | Reference to Dragon Ball Super, scene drawing on its characters or events. | species:mythical
dragon_ball_super_broly | Reference to the Dragon Ball Super Broly film, scene drawing on its characters. | species:mythical
dragon_ball_z | Reference to Dragon Ball Z, scene drawing on its characters or setting. | species:mythical
dragon_bean_(arknights) | Reference to the Arknights character Dragon Bean, scene drawing on her design. | species:mythical
dragon_boy | A young male dragon character, the age and species as framing. | species:mythical
dragon_ears | Dragon-style ears | head:ears
dragon_girl | A young female dragon character, the age and species as framing. | species:mythical
dragon_humanoid | A humanoid with dragon features on a human-shaped body, scales, horns, or wings on humanoid frame. | species:other
dragon_koopa | A Koopa character with added dragon traits, Mario-series fusion design. | species:mythical
dragon_print | A pattern featuring dragon imagery on fabric or surface, printed design rather than live dragon. | species:mythical
dragon_quest | Reference to the Dragon Quest series, scene drawing on its characters or setting. | species:mythical
dragon_quest_builders_2 | Reference to Dragon Quest Builders 2, scene drawing on its characters or setting. | species:mythical
dragon_quest_ii | Reference to Dragon Quest II specifically, scene drawing on that game. | species:mythical
dragon_quest_iii | Reference to Dragon Quest III specifically, scene drawing on that game. | species:mythical
dragon_quest_iv | Reference to Dragon Quest IV specifically, scene drawing on that game. | species:mythical
dragon_quest_v | Reference to Dragon Quest V specifically, scene drawing on that game. | species:mythical
dragon_quest_viii | Reference to Dragon Quest VIII specifically, scene drawing on that game. | species:mythical
dragon_quest_x | Reference to Dragon Quest X specifically, scene drawing on that game. | species:mythical
dragon_quest_xi | Reference to Dragon Quest XI specifically, scene drawing on that game. | species:mythical
dragonfly | Dragonfly species | species:insect
drill_ponytail | Drill ponytail | hair:style
drinking_cum | A character swallowing ejaculate, cum drunk from mouth, penis, or container. | genitalia:male
dripping_vulva | A vulva with fluid visibly dripping, arousal or cum leaking out. | genitalia:female
duffel_coat | Duffel coat | coat:colour
dust:_an_elysian_tail | Dust: an elysian tail | anatomy:tail
east_asian_clothing | East asian clothing | clothing:general
eastern_dragon_horns | Eastern dragon horns | head:general
eastern_dragon_tail | Eastern dragon tail | anatomy:tail
egg_from_vagina | An egg emerging from a vagina, oviposition in progress. | genitalia:female
egg_in_ass | Egg in ass | anatomy:rear
egyptian_clothing | Egyptian clothing | clothing:general
elbow_feathers | Elbow feathers | coat:colour
elder_dragon | A dragon character of ancient age or legendary status, larger and more powerful than standard dragons. | species:mythical
elderly_anthro | An anthro character visibly elderly, age markers on the species form. | species:other
elderly_female | Elderly female character with visible signs of age — grey or white fur, softer body, senior posture. | age
elderly_male | Elderly male character with visible signs of age — grey fur, slower carriage, age-marked features. | age
electric_plug_tail | Electric plug tail | anatomy:tail
ender_dragon | The Ender Dragon boss from Minecraft, the End dimension's final enemy. | species:mythical
energy_wings | Wings made of pure energy or light rather than physical material. | anatomy:fantasy
equid_humanoid | A humanoid with equid (horse, zebra) features on a human-shaped body. | species:other
equid_taur | A taur character with equid body as the lower quadruped portion, classic centaur form. | species:other
equine_vulva | An equine horse-style vulva, large and positioned further back than humanoid anatomy. | genitalia:female
erect_nipples | Erect nipples | anatomy:torso
erection_under_clothing | Erection under clothing | clothing:general
excessive_genital_fluids | Excessive genital fluids | anatomy:general
exposed_breasts | Exposed breasts | anatomy:torso
exposed_butt | Exposed butt | anatomy:rear
eyepatch | Eyepatch | clothing:general
eyepatch_bikini | Eyepatch bikini | clothing:general
face_between_breasts | Face between breasts | anatomy:torso
face_in_ass | Face in ass | anatomy:rear
face_in_breasts | Face in breasts | anatomy:torso
face_to_breasts | Face to breasts | anatomy:torso
faceless_anthro | An anthro character whose face is deliberately hidden or obscured throughout the scene. | species:other
faceless_feral | A feral character whose face is deliberately hidden or obscured throughout the scene. | species:other
fairy_tail | Fairy-style tail | anatomy:tail
fairy_wings | Delicate translucent insect-style wings in the fairy aesthetic, iridescent and small. | anatomy:fantasy
fake_antlers | Fake antlers | head:general
fake_claws | Fake claws | anatomy:limbs
fake_horns | Fake horns | head:general
fake_tail | Fake tail | anatomy:tail
fake_wings | Wings worn as costume accessory rather than natural anatomy, prop wings. | anatomy:fantasy
falling_feathers | Falling feathers | coat:colour
fang_(gvh) | Fang (gvh) | head:mouth
fang_out | Fang out | head:mouth
fanged_bangs | Fanged bangs | head:mouth
fanged_wyvern | A wyvern variant with prominent fangs, Monster Hunter-style species subcategory. | species:mythical
fangs_out | Fangs out | head:mouth
fat_arms | Fat arms | anatomy:limbs
fat_man | Male character with a heavy, padded build, gut prominent, softer face and limbs. | body_type
fat_mons | Prominent, padded mound of flesh at the pubis, fuller and rounder than a standard mons. | body_type
fat_rolls | Visible folds of padded flesh across belly, sides, or back, a signature of heavier body types. | body_type
fatui_coat | Fatui coat | coat:colour
feather-trimmed_sleeves | Feather-trimmed sleeves | clothing:general
feather_boa | Feather boa (species-related) | species:reptile
feather_earrings | Feather earrings | clothing:general
feather_hair | Feather hair | hair:colour
feather_hair_ornament | Feather hair ornament | clothing:general
feather_hands | Feather hands | anatomy:limbs
feather_in_hair | Feather in hair | hair:colour
feather_trim | Feather trim | clothing:general
feather_tuft | Feather tuft | coat:colour
feathered_crest | Feathered crest | coat:colour
feathered_dinosaur | Feathered dinosaur | coat:colour
feathered_dragon | A dragon with feathers rather than or in addition to scales, Quetzalcoatl-style aesthetic. | species:mythical
feathered_scalie | Feathered scalie (species-related) | species:reptile
feathering | Feathering | coat:colour
featureless_chest | Featureless chest | anatomy:torso
feces_in_ass | Feces in ass | anatomy:rear
felid_humanoid | A humanoid with felid (cat) features on a human-shaped body. | species:other
felid_taur | A taur character with felid body as the lower quadruped portion. | species:other
feline_vulva | A feline cat-style vulva, positioned higher between the legs with species-specific shape. | genitalia:female
female_anthro | A female anthro character, species and gender both marked. | species:other
female_feral | A female feral character, fully quadrupedal animal-bodied female with no humanoid features. | species:other
female_on_anthro | A female character with an anthro partner, the species-interaction framing. | species:other
female_on_feral | A female character with a feral partner, the species-interaction framing. | species:other
feral_focus | Scene framed with a feral character as the central subject, the feral form foregrounded. | species:other
feral_instincts | A character's feral animal instincts surfacing during the scene, species behaviour overriding humanoid reason. | species:other
feral_on_bottom | A feral character positioned on the bottom during sex, quadruped lower partner. | species:other
feral_on_top | A feral character positioned on top during sex, quadruped upper partner. | species:other
feral_penetrating_female | A feral fully-quadruped animal character penetrating a female partner during sex. | species:other
feral_penetrating_male | A feral fully-quadruped animal character penetrating a male partner during sex. | species:other
feral_pred | A feral character in the vore predator role, quadruped swallowing or absorbing prey. | species:other
feral_prey | A feral character in the vore prey role, quadruped being swallowed or absorbed. | species:other
feral_with_hair | Feral with hair | hair:colour
fiery_horns | Fiery horns | head:general
fiery_tail | Fiery tail | anatomy:tail
fiery_wings | Wings made of flame or trailing fire, elemental rather than physical form. | anatomy:fantasy
fish_boy | Fish boy (species-related) | species:fish
fish_girl | Fish girl (species-related) | species:fish
fish_hair_ornament | Fish hair ornament (species-related) | species:fish
fish_hook | Fish hook (species-related) | species:fish
fish_humanoid | A humanoid with fish features on a human-shaped body, gills, fins, or scales on humanoid frame. | species:other
fish_print | Fish print (species-related) | species:fish
fish_skeleton | A skeletal fish remnant, either creature or prop in the scene. | species:mythical
fish_tail | Fish-style tail | anatomy:tail
fishnet_armwear | Fishnet armwear | clothing:general
fishnet_bodystocking | Fishnet bodystocking | clothing:general
fishnet_clothing | Fishnet clothing | clothing:general
fishnet_gloves | Fishnet gloves | clothing:general
fishnet_leggings | Fishnet leggings | clothing:general
fishnet_legwear | Fishnet legwear | clothing:general
fishnet_pantyhose | Fishnet pantyhose | clothing:general
fishnet_sleeves | Fishnet sleeves | clothing:general
fishnet_socks | Fishnet socks | clothing:general
fishnet_thigh_highs | Fishnet thigh highs | clothing:general
fishnet_thighhighs | Fishnet thighhighs | clothing:general
fishnet_top | Fishnet top | clothing:general
fishnet_topwear | Fishnet topwear | clothing:general
fishnets | Fishnets | clothing:general
flame-tipped_tail | Flame-tipped tail | anatomy:tail
flashing_breasts | Flashing breasts | anatomy:torso
flat_ass | Flat ass | anatomy:rear
flower_knot | A decorative flower-shaped knot tied into ribbon or rope, not genital anatomy. | genitalia:male
flowing_hair | Flowing hair | hair:colour
fluffy_balls | Testicles covered in fluffy fur, the floof the noted feature. | genitalia:male
fluffy_chest | Fluffy chest | anatomy:torso
fluffy_fur | Fluffy fur | coat:colour
fluffy_paws | Fluffy paws | anatomy:limbs
fluffy_pony_(species) | The Fluffy Pony internet species, small derpy ponies of a specific fan aesthetic. | species:other
flying_fish | Flying fish (species-related) | species:fish
fold-over_boots | Fold-over boots | clothing:general
folded_ears | Folded ears | head:ears
folded_hair | Folded hair | hair:colour
folded_ponytail | Folded ponytail | hair:style
folded_wings | Wings tucked in against the back rather than extended, the resting position. | anatomy:fantasy
food_in_ass | Food in ass | anatomy:rear
food_on_breasts | Food on breasts | anatomy:torso
foot_on_balls | A foot pressing or resting on testicles, foot-play focused on the sack. | genitalia:male
foot_on_penis | A foot pressing or resting on a penis, foot-play focused on the shaft. | genitalia:male
forearm_muscles | Visibly developed muscle in the forearm, veins and striations showing through the skin. | body_type
foreskin_pull | Foreskin pull | clothing:general
fox_tail | Fox-style tail | anatomy:tail
framed_breasts | Framed breasts | anatomy:torso
freckled_breasts | Freckled breasts | anatomy:torso
freckled_butt | Freckled butt | anatomy:rear
freckled_chest | Freckled chest | anatomy:torso
freckled_hips | Freckled hips | coat:pattern
freckled_thighs | Freckled thighs | coat:pattern
frilled_shorts | Frilled shorts | clothing:general
frilled_thigh_strap | Frilled thigh strap | clothing:general
frilled_thighhighs | Frilled thighhighs | clothing:general
frilly_clothing | Frilly clothing | clothing:general
front_ponytail | Front ponytail | hair:style
full_foot_pawpads | Full foot pawpads | anatomy:limbs
fully_clothed_anthro | Fully clothed anthro | clothing:general
fur-tipped_tail | Fur-tipped tail | anatomy:tail
fur-trimmed_bikini | Fur-trimmed bikini | clothing:general
fur-trimmed_boots | Fur-trimmed boots | clothing:general
fur-trimmed_cape | Fur-trimmed cape | clothing:general
fur-trimmed_capelet | Fur-trimmed capelet | clothing:general
fur-trimmed_cloak | Fur-trimmed cloak | clothing:general
fur-trimmed_coat | Fur-trimmed coat | coat:colour
fur-trimmed_dress | Fur-trimmed dress | clothing:general
fur-trimmed_gloves | Fur-trimmed gloves | clothing:general
fur-trimmed_headwear | Fur-trimmed headwear | clothing:general
fur-trimmed_hood | Fur-trimmed hood | clothing:general
fur-trimmed_jacket | Fur-trimmed jacket | clothing:general
fur-trimmed_kimono | Fur-trimmed kimono | clothing:general
fur-trimmed_legwear | Fur-trimmed legwear | clothing:general
fur-trimmed_leotard | Fur-trimmed leotard | clothing:general
fur-trimmed_shirt | Fur-trimmed shirt | clothing:general
fur-trimmed_shorts | Fur-trimmed shorts | clothing:general
fur-trimmed_skirt | Fur-trimmed skirt | clothing:general
fur-trimmed_sleeves | Fur-trimmed sleeves | clothing:general
fur-trimmed_thighhighs | Fur-trimmed thighhighs | clothing:general
fur_bikini | Fur bikini | clothing:general
fur_boots | Fur boots | clothing:general
fur_cape | Fur cape | clothing:general
fur_choker | Fur choker | clothing:general
fur_cloak | Fur cloak | clothing:general
fur_coat | Fur coat | coat:colour
fur_hat | Fur hat | clothing:general
fur_jacket | Fur jacket | clothing:general
fur_scarf | Fur scarf | clothing:general
fur_shawl | Fur shawl | coat:texture
fur_trim | Fur trim | coat:texture
fur_trim_(clothing) | Fur trim (clothing) | clothing:general
fur_tuft | Fur tuft | coat:texture
furgonomic_bottomwear | Furgonomic bottomwear | clothing:general
furgonomic_footwear | Furgonomic footwear | clothing:general
furgonomic_hat | Furgonomic hat | clothing:general
furgonomic_headwear | Furgonomic headwear | clothing:general
furgonomic_piercing | Furgonomic piercing | clothing:general
furisode | Furisode (long-sleeved kimono) | clothing:general
furred_dragon | A dragon with fur rather than or in addition to scales, fluffy variant design. | species:mythical
furred_kobold | Furred kobold | coat:texture
furred_scalie | Furred scalie (species-related) | species:reptile
furret | The Pokemon species Furret, a long-bodied mustelid-styled creature with cream and brown fur and a coiled tail. | species:other
furrowed_eyebrows | Furrowed eyebrows | head:face
furry_balls | Testicles covered in noticeable fur, furry-anatomy feature on the visible scrotum. | genitalia:male
furry_female | Furry female | coat:texture
furry_male | Furry male | coat:texture
furry_tail | Furry tail | anatomy:tail
furry_with_furry | Furry with furry | coat:texture
furry_with_non-furry | Furry with non-furry | coat:texture
furryfight_chronicles | Furryfight chronicles | coat:texture
furryratchet | Furryratchet | coat:texture
futa_without_balls | A futanari character with a penis but no testicles, feminine-anatomy plus shaft alone. | genitalia:male
gem_(species) | The Gem species from Steven Universe, sentient mineral beings with projected bodies. | species:other
gender_request | Gender request | clothing:general
ghost_tail | Ghost-style tail | anatomy:tail
gigantic_breasts | Gigantic breasts | anatomy:torso
gigantic_penis | An enormous penis, scale far past realistic, gigantism-level anatomy. | genitalia:male
girthy_penis | A penis with notably thick girth, wider than length would suggest. | genitalia:male
glasses_on_head | Glasses on head | clothing:general
glistening_balls | Testicles shown wet or shiny with fluid or sweat, surface reflection the feature. | genitalia:male
glistening_bodily_fluids | Glistening bodily fluids | anatomy:general
glistening_breasts | Glistening breasts | anatomy:torso
glistening_butt | Glistening butt | anatomy:rear
glistening_clothing | Glistening clothing | clothing:general
glistening_fur | Glistening fur | coat:colour
glistening_knot | A canine-style knot shown wet or shiny with fluid. | genitalia:male
glistening_nipples | Glistening nipples | anatomy:torso
glistening_pawpads | Glistening pawpads | anatomy:limbs
glistening_penis | A penis shown wet or shiny with fluid, surface reflection emphasised. | genitalia:male
glistening_scales | Glistening scales | coat:colour
glistening_skin | Glistening skin | coat:colour
glistening_tail | Glistening tail | anatomy:tail
glistening_thighs | Glistening thighs | anatomy:general
glistening_vulva | A vulva shown wet or shiny with fluid, surface reflection emphasised. | genitalia:female
glory_balls | Testicles hanging through a glory hole for anonymous access. | genitalia:male
glowing | Glowing | anatomy:general
glowing_anus | Glowing anus | anatomy:rear
glowing_body | Glowing body | anatomy:general
glowing_butterfly | Glowing butterfly (species-related) | species:insect
glowing_cum | Ejaculate that glows with its own light, fantasy or magical fluid. | genitalia:male
glowing_eye | Glowing eye | anatomy:general
glowing_flower | Glowing flower | anatomy:general
glowing_fur | Glowing fur | coat:colour
glowing_genitalia | Glowing genitalia | anatomy:general
glowing_hair | Glowing hair | hair:colour
glowing_hand | Glowing hand | anatomy:general
glowing_horn | Glowing horn | head:general
glowing_horns | Glowing horns | head:general
glowing_mouth | Glowing mouth | anatomy:general
glowing_tattoo | Glowing tattoo | anatomy:general
glowing_vulva | A vulva radiating its own light, fantasy or magical anatomy illuminated from within. | genitalia:female
glowing_weapon | Glowing weapon | anatomy:general
glowing_wings | Wings emitting visible light, whether from energy, magic, or bioluminescence. | anatomy:fantasy
goat_horns | Goat-style horns | head:general
goat_tail | Goat-style tail | anatomy:tail
gold_anklet | Gold anklet | clothing:general
gold_armlet | Gold armlet | clothing:general
gold_armor | Gold armor | clothing:general
