TAG DATABASE: KINK & FETISH
========================================
Total tags: 1337
Categories: 7
Last updated: 2026-02-26

================================================================================
BDSM, POWER & CONSENT
================================================================================
aftercare | Emotional/physical care given after intense sexual activity | kink:bdsm
accidental_exposure | Unintended nudity. | kink:clothing
apron_lift | Apron is being lifted. | kink:clothing
apron_only | Only wearing an apron. | kink:clothing
areola_slip | Areola exposed unintentionally. | kink:clothing
assisted_exposure | Someone else exposes the character. | kink:clothing
bikini_aside | Bikini pulled aside. | kink:clothing
bikini_down | Bikini is pulled down. | kink:clothing
bikini_lift | Bikini is being lifted. | kink:clothing
boa_only | Character wears only a feather boa. | kink:clothing
bottomless | Lower body is nude. | kink:clothing
bottomwear_aside | Bottomwear pulled aside. | kink:clothing
bra_down | Bra pulled down. | kink:clothing
bra_lift | Bra is being lifted. | kink:clothing
cape_only | Only wearing a cape. | kink:clothing
casual_nudity | Characters are nude without sexual implications. | kink:clothing
clothed | Character is wearing clothing (opposite of nude). | kink:clothing
clothing_aside | Clothing pulled aside to expose underneath. | kink:clothing
clothing_lift | Clothing is being lifted by someone. | kink:clothing
collar_only | Only a collar is worn. | kink:clothing
dress_lift | Dress is being lifted. | kink:clothing
exposed | Nudity resulting from exposure. | kink:clothing
flashing | Brief nudity for shock/arousal. | kink:clothing
footwear_only | Only footwear is worn. | kink:clothing
forced_nudity | Character is made to be nude against their will. | kink:clothing
glasses_only | Character wears only glasses. | kink:clothing
half_naked | Ambiguous partial nudity. Use more specific tags if possible. | kink:clothing
hat_only | Only wearing a hat. | kink:clothing
indoor_nudity | Nudity in an indoor setting. | kink:clothing
ineffective_clothing | Clothing that doesn’t properly cover private areas. | kink:clothing
kimono_lift | Kimono is being lifted. | kink:clothing
leotard_aside | Leotard pulled aside. | kink:clothing
loincloth_aside | Loincloth pulled aside. | kink:clothing
loincloth_lift | Loincloth is being lifted. | kink:clothing
mooning | Exposing the buttocks deliberately. | kink:clothing
mostly_nude | Nearly nude but not fully. | kink:clothing
naked_hug | Hugging without clothing. | kink:clothing
naked_twister | Twister game while nude. | kink:clothing
nipple_slip | Nipple exposed unintentionally. | kink:clothing
nude | Character is completely without clothing. | kink:clothing
nude_beach | Scene set on a nudist beach. | kink:clothing
nude_modelling | Character poses nude for artistic purposes. | kink:clothing
nudist | Characters practicing nudism/naturism. | kink:clothing
nudity | General nudity-related context. | kink:clothing
open_bra | Bra is open. | kink:clothing
open_clothing | Clothes are open but not fully removed. | kink:clothing
open_coat | Coat is open. | kink:clothing
open_dress | Dress is open. | kink:clothing
open_hoodie | Hoodie is open. | kink:clothing
open_jacket | Jacket is open. | kink:clothing
open_jumpsuit | Jumpsuit is open. | kink:clothing
open_kimono | Kimono is open. | kink:clothing
open_pants | Pants are unzipped or unbuttoned. | kink:clothing
open_robe | Robe is open. | kink:clothing
open_shirt | Shirt is unbuttoned or opened. | kink:clothing
open_skirt | Skirt is open. | kink:clothing
open_suit | Suit is open. | kink:clothing
open_sweater | Sweater is open. | kink:clothing
open_vest | Vest is open. | kink:clothing
outdoor_nudity | Nudity in an outdoor setting. | kink:clothing
panties_aside | Panties pulled aside. | kink:clothing
panties_down | Panties pulled down. | kink:clothing
panties_only | Only panties are worn. | kink:clothing
pants_down | Pants are pulled down. | kink:clothing
pantsing | Pants pulled down as prank or exposure. | kink:clothing
partially_clothed | Character is wearing only part of their outfit. | kink:clothing
pole_dancing | Dancing on a pole, often nude. | kink:clothing
public_nudity | Nudity visible in a public space. | kink:clothing
raised_clothing | Clothing is raised without showing who is lifting. | kink:clothing
raised_dress | Dress is raised. | kink:clothing
raised_shirt | Shirt is raised. | kink:clothing
raised_skirt | Skirt is raised. | kink:clothing
robe_lift | Robe is being lifted. | kink:clothing
scarf_only | Only wearing a scarf. | kink:clothing
shirt_down | Shirt is pulled down. | kink:clothing
shirt_lift | Shirt is being lifted. | kink:clothing
shoes_only | Only shoes are worn. | kink:clothing
shorts_down | Shorts are pulled down. | kink:clothing
skimpy | Clothing that is tight or revealing. | kink:clothing
skinny_dipping | Swimming nude. | kink:clothing
skirt_down | Skirt is pulled down. | kink:clothing
skirt_lift | Skirt is being lifted. | kink:clothing
sleeping_nude | Character is nude while sleeping. | kink:clothing
social_nudity | Group nudity or nude interaction. | kink:clothing
streaking | Running naked in public. | kink:clothing
strip_club | Club setting with nudity/dancing. | kink:clothing
strip_poker | Poker where players remove clothing as penalty. | kink:clothing
strip_search | Character is stripped for inspection. | kink:clothing
stripper | Character is performing a striptease. | kink:clothing
striptease | Seductive removal of clothing. | kink:clothing
sweater_lift | Sweater is being lifted. | kink:clothing
swimsuit_down | Swimsuit is pulled down. | kink:clothing
swimwear_aside | Swimwear pulled aside. | kink:clothing
tasteful_nudity | Nudity with artistic/romantic framing. | kink:clothing
topless | Upper body is nude. | kink:clothing
topwear_aside | Upper clothing pulled aside. | kink:clothing
towel_only | Character wears only a towel. | kink:clothing
underwear_aside | Underwear pulled aside. | kink:clothing
underwear_down | Underwear pulled down. | kink:clothing
underwear_only | Only underwear is worn. | kink:clothing
undressing | Removing clothing. | kink:clothing
voyeur | Character is watching someone undress/be nude. | kink:clothing
wardrobe_malfunction | Clothing fails to cover due to mishap. | kink:clothing

================================================================================
GENDER & FORM DYNAMICS
================================================================================
ambiguous_domination | A character whose gender is ambiguous or undefined takes the dominant role, using the mystery of their identity as part of the power dynamic. The uncertainty about what lies beneath adds an element of the unknown that heightens both tension and arousal. | kink:dynamics
andromorph_domination | A feminine-bodied character with male genitalia takes the dominant role, using their unique anatomy to control and overwhelm their partner. The combination of soft, feminine features with an assertive, penetrative presence creates a striking contrast that defines the encounter. | kink:dynamics
anthro_domination | An anthropomorphic character dominates a partner, leveraging their animal traits — fangs, claws, superior strength, or predatory instincts — as tools of control. The bestial edge beneath a humanoid form adds a primal threat that purely human dominance cannot replicate. | kink:dynamics
claimed_by_feral | A humanoid or anthro character is sexually dominated and claimed by a feral animal, submitting to raw instinct and animalistic mounting without negotiation. The feral's lack of language strips the encounter to pure physical dominance, reducing the claimed partner to a receptive mate beneath animal authority. | kink:dynamics
female_domination | A female-identifying character commands the encounter, controlling pace, position, and her partner's pleasure or denial with absolute authority. Her dominance may range from sensual and teasing to harsh and punishing, with the partner yielding to her completely on her terms. | kink:dynamics
feral_domination | A feral, non-anthropomorphic animal takes the dominant role, mounting or controlling their partner through size, instinct, or physical advantage. The absence of humanoid reasoning in the dominant adds a raw, animalistic edge where the partner submits to pure primal authority. | kink:dynamics
gynomorph_domination | A masculine-bodied character with female genitalia dominates their partner, using their powerful frame and unexpected anatomy to subvert expectations. The contrast between a strong, imposing exterior and feminine intimate features creates a unique dynamic of surprise and surrender. | kink:dynamics
herm_domination | A hermaphroditic character with both sets of genitalia takes the dominant role, wielding their dual anatomy as a tool of overwhelming sexual authority. The ability to penetrate and envelop simultaneously gives the herm dom unmatched versatility in controlling their partner's pleasure. | kink:dynamics
human_domination | A human character dominates a non-human partner, asserting species-based authority over an anthro, feral, or fantasy creature. The dynamic often plays on themes of taming or domestication — a physically weaker species commanding a stronger one through will alone. | kink:dynamics
intersex_domination | An intersex character takes the dominant role, their naturally variant anatomy serving as a source of confident, commanding sexual authority. The partner submits to the dom's unique body, which offers sensations and dynamics no single-sex dominant can provide. | kink:dynamics
male_domination | A male-identifying character takes full control of the encounter, directing his partner's body, pace, and pleasure with commanding authority. His dominance may manifest through physical strength, verbal commands, or sheer presence, with the submissive yielding to masculine power. | kink:dynamics
maleherm_domination | A male-presenting hermaphrodite dominates the encounter, combining masculine aggression with the versatility of dual genitalia. The outwardly male presentation paired with hidden feminine anatomy allows for unexpected shifts in how they overwhelm their partner. | kink:dynamics
pack_hierarchy | Sexual dynamics governed by pack or herd social structure, where alpha, beta, and omega roles determine who mounts whom and in what order. The hierarchy may be established through displays of strength, scent marking, or ritual combat, with mating rights following the chain of command. | kink:dynamics
power_bottom | A receiving partner who takes charge of the encounter despite being penetrated, controlling pace, depth, and rhythm from beneath or below. The power bottom commands the top's body as their tool, riding, pulling, and demanding exactly what they want while technically in the receptive role. | kink:dynamics
predator_prey_dynamic | A dominance dynamic based on the hunting instinct — one partner stalks, chases, and catches while the other flees, hides, and is ultimately captured and claimed. The pursuit itself is the foreplay, with the catch triggering a primal, adrenaline-fuelled mating driven by instinct rather than negotiation. | kink:dynamics
reverse_mounting | The typically submissive or smaller partner mounts the larger or typically dominant one, inverting the expected physical dynamic. A prey species mounting a predator, a small character riding a much larger one — the visual and physical reversal charges the encounter with transgressive energy. | kink:dynamics
service_top | A dominant-positioned partner whose focus is entirely on the bottom's pleasure rather than their own authority, topping as an act of devoted service. The service top takes the active role but follows the receiver's cues and desires, inverting the usual top-equals-dominant assumption. | kink:dynamics
size_based_dominance | A power dynamic where the larger partner's sheer physical scale establishes dominance — their body dwarfs the smaller partner, who has no choice but to yield to someone who could pin them with one hand. The size gap makes resistance futile, as the smaller partner surrenders to someone who could overwhelm them effortlessly. | kink:dynamics
species_dominance | A power dynamic where one species asserts natural authority over another based on the food chain, predator-prey relationships, or innate biological hierarchy. A wolf dominating a rabbit, a dragon commanding a kobold, or a shark controlling a smaller fish — the dominance is written into their very biology. | kink:dynamics
submissive_ambiguous | A gender-ambiguous character takes the submissive role, their undefined identity adding mystery to the vulnerability of surrender. The dom may discover what they're working with only as the scene progresses, making the ambiguity itself part of the erotic tension. | kink:dynamics
submissive_andromorph | A feminine-bodied character with male genitalia submits, their soft appearance and unexpected anatomy making them an enticing target for a dominant's exploration. The vulnerability of presenting a body that defies simple categorisation adds depth to their surrender. | kink:dynamics
submissive_anthro | An anthropomorphic character takes the submissive role, ears pinned back, tail tucked or raised in offering, yielding their animal body to a dominant's control. Instinctive submission cues — exposed throats, lowered postures, whimpering — add primal authenticity to the power exchange. | kink:dynamics
submissive_female | A female character yields control to her dominant, surrendering her body and agency to their direction and desire. Her submission may be demure and gentle or reluctant and hard-won, but the result is the same — she takes what she's given on her partner's terms. | kink:dynamics
submissive_feral | A feral, animal-bodied character submits, presenting themselves the way their species naturally signals sexual availability and deference. The instinct-driven submission — lowered head, raised haunches, exposed belly — carries a rawness that anthropomorphic submission cannot fully capture. | kink:dynamics
submissive_gynomorph | A masculine-bodied character with female genitalia submits, their strong frame and unexpected vulnerability creating a compelling contrast as they yield. The sight of a powerful body surrendering and being penetrated through its feminine anatomy subverts expectations in deeply arousing ways. | kink:dynamics
submissive_herm | A hermaphroditic character submits with both sets of genitalia available for their dominant's use, offering twice the access and twice the vulnerability. The dual anatomy means the dom can choose how to use them — or use everything at once — making the herm sub an endlessly versatile plaything. | kink:dynamics
submissive_human | A human submits to a non-human dominant, surrendering to a creature that may be stronger, faster, or equipped with anatomy far beyond human scale. The species gap amplifies the power imbalance, with the fragile human body yielding to claws, knots, tentacles, or sheer animal force. | kink:dynamics
submissive_intersex | An intersex character yields to a dominant, their naturally variant body presented for exploration and use in whatever way the dom desires. The submission of a body that exists outside binary norms often carries themes of acceptance, vulnerability, and the eroticism of being truly seen. | kink:dynamics
submissive_male | A male character surrenders control, allowing himself to be used, directed, and dominated by his partner regardless of their gender. Male submission challenges traditional expectations of masculine control, creating tension between conditioned dominance and the deep relief of letting go. | kink:dynamics
submissive_maleherm | A male-presenting hermaphrodite submits, their outwardly masculine appearance hiding feminine anatomy that the dominant discovers and exploits. The reveal and use of hidden genitalia adds a layer of exposure and vulnerability beyond simple physical submission. | kink:dynamics
switch | A character who fluidly moves between dominant and submissive roles within a scene or relationship, comfortable commanding and yielding in equal measure. Switch dynamics create unpredictable encounters where control can shift at any moment, keeping both partners guessing who's in charge. | kink:dynamics
topping_from_bottom | A nominally submissive character who actually controls the encounter through manipulation, provocation, or sheer force of personality from the bottom position. Despite appearing to submit, they direct the dominant's actions through bratting, begging, or strategic vulnerability. | kink:dynamics

================================================================================
TRANSFORMATION & SIZE
================================================================================
absorption | One character absorbs another into their body through skin, slime, or magical means, merging them partially or completely into their own flesh. The absorbed character may remain conscious within, feeling every sensation of being dissolved into and becoming part of another being. | kink:transformation
age_progression | A character rapidly matures or ages forward, their body developing from youth to adulthood or beyond during the scene. The transformation may be triggered by magic or potions, with clothing straining and splitting as their frame expands and matures. | kink:transformation
age_regression | A character's body reverts to a younger physical state, shrinking and softening as years melt away from their form. The regression may affect only the body while leaving the adult mind intact, or include mental changes that add vulnerability to the physical diminishment. | kink:transformation
animal_transformation | A character transforms fully into a non-anthropomorphic animal, losing humanoid features as fur, scales, or feathers spread and limbs reshape into legs, paws, or wings. The shift from person to beast may be voluntary shapeshifting or an unwilling curse, with the character retaining or losing their sapient mind. | kink:transformation
ass_expansion | A character's buttocks swell and grow larger, each cheek rounding outward with increasing mass until the rear dramatically exceeds its original proportions. Clothing splits at the seams as the expanding rear overwhelms any fabric trying to contain it, the growing weight and jiggle impossible to ignore. | kink:transformation
ball_growth | A character's testicles swell and enlarge, growing heavier and hanging lower as they fill with increasing volume and churn with production. The swelling sack may strain against clothing and rest heavily between the thighs, the weight a constant reminder of how much they're carrying. | kink:transformation
belly_inflation | A character's stomach expands dramatically as it fills with air, water, cum, eggs, or magical energy, swelling outward like a balloon. The taut, rounded belly may grow to pregnancy-like proportions or beyond, skin stretching tight and shiny as the pressure builds. | kink:transformation
bimbofication | A transformation that reshapes a character into an exaggerated, hypersexual form — lips plumping, breasts swelling, waist cinching, hips widening — while their mind simplifies toward pleasure-focused vapidity. The physical and mental changes feed each other as the character becomes increasingly gorgeous, horny, and cheerfully dim. | kink:transformation
body_horror | Transformation or physical alteration that is disturbing, grotesque, or unsettling — extra limbs growing wrong, flesh reshaping painfully, features melting or twisting into something alien. The horror of losing control over one's own body and becoming something unrecognisable is the central element. | kink:transformation
breast_expansion | A character's breasts swell and grow larger — sometimes gradually, sometimes in sudden surges — expanding dramatically as clothing strains and bursts around them. The growing weight and heightened sensitivity make every movement and touch overwhelming as the swelling flesh pushes ever outward. | kink:transformation
city_sized | A character so enormous they rival or exceed the size of entire cities, with buildings reaching only to their ankles and crowds of people like specks far below. At this incomprehensible scale, every movement reshapes geography and the character's body becomes a landscape unto itself. | kink:transformation
clit_growth | A character's clitoris swells and enlarges dramatically, growing from its normal size into a prominent, sometimes penis-like protrusion that throbs visibly. The engorged clit becomes hypersensitive and impossible to ignore, poking from its hood and demanding constant attention. | kink:transformation
cock_growth | A character's penis lengthens and thickens, expanding beyond its normal size through magic, potions, arousal, or transformation until it strains against clothing. The growth may be gradual and pleasurable or sudden and overwhelming, the expanding shaft becoming increasingly difficult to hide or accommodate. | kink:transformation
cock_vore | A character is drawn into another through the urethra, the opening stretching impossibly to engulf and swallow them whole down the shaft and into the balls. The consuming character's genitals bulge and swell as the prey is pulled deeper, eventually curling up inside the testes. | kink:transformation
constriction | A serpentine, tentacled, or otherwise flexible character wraps their body around another and squeezes, using coiling pressure to restrain and dominate. The tightening coils make breathing shallow and movement impossible as the wrapped character is compressed into helpless submission. | kink:transformation
corruption_spread | Dark transformation that spreads from a point of contact across the body like an infection — veins darkening, skin changing texture, features warping as the corruption claims new territory. The spreading change is often accompanied by intensifying arousal, each newly corrupted area becoming a fresh source of dark pleasure. | kink:transformation
corruption_tf | A transformation driven by dark magic, demonic influence, or corrupting substances that reshapes the body while twisting the mind toward depravity. The character's appearance shifts — darkening skin, growing horns, developing predatory features — as their inhibitions dissolve and desires become insatiable. | kink:transformation
cum_inflation | A character's belly swells and distends from the sheer volume of ejaculate pumped inside them, filling them until their stomach rounds out visibly. Each additional load pushes the belly further, the receiver growing increasingly full, heavy, and sloshing with the hot liquid packed inside. | kink:transformation
doll_tf | A character transforms into a doll — joints becoming ball-jointed, skin smoothing to plastic or porcelain, expression freezing into a permanent painted look. The dollified character may retain full awareness while losing all autonomy, becoming a posed, dressed-up object for their owner's amusement. | kink:transformation
dragon_transformation | A character transforms specifically into a dragon, growing scales, wings, horns, and a massive reptilian body as bones crack and reshape throughout the change. Wings burst from shoulders, a snout pushes forward from the face, and a tail extends as the character becomes something ancient and powerful. | kink:transformation
feral_transformation | A character transforms from an anthro or humanoid form into a feral, quadrupedal animal shape, losing their upright stance and humanoid features. The shift from sapient biped to animal may preserve the mind trapped in a beast's body, or strip it away entirely, leaving only instinct. | kink:transformation
forced_transformation | A transformation inflicted on a character against their will — by a curse, spell, potion, or another character's power — with no ability to resist the changes. The unwilling subject watches helplessly as their body reshapes, often struggling and protesting as the transformation progresses regardless. | kink:transformation
gender_transformation | A character's sex and physical anatomy change from one configuration to another — male to female, female to male, or to an intersex state between. The transformation may happen gradually with growing awareness of each change, or instantaneously, leaving the character suddenly inhabiting a dramatically different body. | kink:transformation
gentle_giant | A macro or giant character who is careful, tender, and protective with their tiny partner, using their enormous size for comfort and intimacy rather than destruction. The massive hands that could crush instead cradle gently, creating a dynamic of overwhelming power held deliberately in check. | kink:transformation
giant | A character of enormous size, towering over buildings, landscapes, or normal-sized partners who are tiny by comparison. Their massive scale makes every movement consequential and every step earth-shaking, with any interaction with smaller beings defined by the extreme difference in scale. | kink:transformation
giantess | A female character of enormous size, often depicted interacting with tiny people or partners who are insignificant compared to her towering form. The combination of feminine features at colossal scale creates a dynamic where beauty and destructive power coexist, with smaller characters entirely at her mercy. | kink:transformation
growth | A character's body increases in overall size, expanding taller and broader as muscles swell, frame stretches, and mass accumulates rapidly. Clothing rips apart and surroundings become smaller as the character outgrows their environment, each surge of growth accompanied by the sound of tearing fabric. | kink:transformation
hand_sized | A character shrunken or naturally small enough to fit in a normal-sized character's palm, their entire body grippable in a single closing fist. At this scale, a tongue covers the entire body, a single finger is proportionally enormous, and escape from a closed hand is impossible. | kink:transformation
hard_vore | A form of vore involving graphic, violent consumption — chewing, tearing, digestion, or fatal swallowing of another character. This extreme variant focuses on the predatory, destructive aspect of being eaten, with pain and finality as core elements of the fantasy. | kink:transformation
height_increase | A character grows taller, gaining inches or feet of height as their frame stretches and lengthens, gradually towering over others who were previously their equal. The progressive height gain shifts the power dynamic in real time as the growing character begins looking down on those who must now look up. | kink:transformation
himbofication | The male equivalent of bimbofication — a transformation that bulks a character with exaggerated muscles, chisels their jaw, and simplifies their mind toward cheerful, horny obliviousness. The resulting himbo is gorgeous, stacked, eager to please, and blissfully uncomplicated in his enthusiastic sexuality. | kink:transformation
hip_expansion | A character's hips widen dramatically, the pelvic structure and surrounding flesh broadening outward to create exaggerated proportions that split clothing at the sides. Each step creates a pronounced, hypnotic sway in the newly widened frame as the hips push past anything trying to contain them. | kink:transformation
inanimate_tf | A character transforms into an inanimate object — furniture, a toy, a garment, or any non-living thing — typically while retaining full awareness inside their objectified form. The transformed character feels everything done to or with them but cannot move, speak, or resist their new purpose. | kink:transformation
inflation | A character's body or specific body parts swell and expand with air, water, magical energy, or other substances, ballooning outward dramatically beyond normal proportions. The inflating body becomes taut and round, skin stretching to accommodate the impossible expansion while the character feels mounting internal pressure. | kink:transformation
intelligence_drain | A character's cognitive function diminishes as part of a transformation, curse, or magical effect, leaving them increasingly vapid and simple-minded. Thoughts become harder to form, vocabulary shrinks, and complex reasoning gives way to basic impulses — usually centred around pleasure and obedience. | kink:transformation
latex_transformation | A character's skin transforms into smooth, shiny latex or rubber, their body becoming a living rubber figure with sealed seams and a permanent glossy sheen. The latex surface is hypersensitive to touch, and the character may find their movements becoming stiff, doll-like, and increasingly toylike. | kink:transformation
lip_expansion | A character's lips swell and plump dramatically, growing thick, pillowy, and impossibly full until they dominate the face with a permanent pouty expression. The engorged lips become hypersensitive and difficult to close fully, creating an exaggerated, cock-ready mouth that begs attention. | kink:transformation
living_latex | A sentient latex or rubber substance that spreads across and encases a character's body, bonding to skin and gradually converting them into a rubber creature. The living material has its own will, tightening, loosening, and stimulating the host as it sees fit while claiming more of their body. | kink:transformation
living_statue | A character transformed into stone, metal, crystal, or another solid material while remaining fully conscious inside their frozen, immobile form. The petrified character can see and feel but cannot move or speak, trapped in whatever pose they were frozen in as a permanent display piece. | kink:transformation
macro | A character scaled to giant proportions, typically large enough that normal-sized characters fit in their hand, between their toes, or inside their body entirely. Macro content focuses on the extreme power imbalance and creative physical interactions between beings of vastly different scales. | kink:transformation
mental_regression | A character's mind reverts to a simpler, more childlike or animalistic state while their body may remain fully adult. Vocabulary, reasoning, and social awareness dissolve as the character's mental age drops, leaving them confused, dependent, and operating on increasingly basic impulses. | kink:transformation
mental_transformation | Changes to a character's personality, intelligence, desires, or identity as part of a broader physical transformation — the mind reshaping to match the new body. A character becoming feral might lose sapient thought; one becoming a bimbo might trade knowledge for sexual confidence. | kink:transformation
merging | Two or more characters physically fuse into a single combined being, their bodies melting or pressing together until individual forms are indistinguishable. The merged entity may have traits from all original characters and share thoughts, creating a unique form of intimate unification. | kink:transformation
micro | A character shrunken to tiny proportions — small enough to fit in a palm, stand on a finger, or be accidentally stepped on by a normal-sized being. The extreme vulnerability of being miniaturised makes every surface a landscape and every normal-sized person a towering, potentially dangerous colossus. | kink:transformation
mid_tf_sex | Sexual activity that occurs during an active transformation, with the changing body creating shifting sensations and anatomy throughout the encounter. The sex continues as features morph — new organs forming, sizes changing, species traits emerging — making each moment physically different from the last. | kink:transformation
multi_arm | A character with more than two arms, providing extra limbs for grasping, restraining, or simultaneously stimulating multiple areas of a partner's body at once. Four or more hands can pin, grope, penetrate, and caress all simultaneously, overwhelming a partner with more touch than they can track. | kink:transformation
multi_leg | A character with more than two legs, often as part of a taur, insectoid, or spider body configuration that changes how they move and mate. The additional legs may wrap around partners, provide unusual mounting positions, or frame a body plan that demands creative sexual configurations. | kink:transformation
muscle_growth | A character's muscles visibly swell and expand, bulking up with increasing mass as definition deepens and veins surface across their growing physique. Clothing tears at the seams as biceps, pecs, thighs, and abs inflate with raw power, each surge of growth multiplying their strength. | kink:transformation
nipple_expansion | A character's nipples grow larger, longer, and more prominent, swelling from normal size into thick, finger-length or larger protrusions that demand constant attention. The expanded nipples become dramatically more sensitive, each one a major erogenous zone that can be gripped, sucked, or even penetrated. | kink:transformation
outgrowing_clothes | A growing character's clothing strains, stretches, and tears apart as their expanding body exceeds what the fabric can contain. Seams pop, buttons burst, fabric rips across swelling curves or bulging muscles — the destruction of clothing serving as a visceral measure of how much they've grown. | kink:transformation
partial_transformation | Only part of a character's body transforms while the rest remains unchanged — a human growing a tail, one arm becoming a tentacle, or legs fusing into a serpent body below the waist. The hybrid result creates a striking visual contrast between the transformed and untransformed portions. | kink:transformation
petrification | A character is turned to stone, crystal, metal, or another solid material, their body freezing mid-motion as the hardening effect spreads across their skin. The transformation may creep slowly from the point of contact, giving the victim time to feel each body part solidify and lock into immobility. | kink:transformation
pleasurable_transformation | A transformation where every change brings waves of overwhelming physical pleasure — bones reshaping sends orgasmic pulses, new nerves firing create cascading bliss throughout the body. The pleasure is so intense the transforming character can barely think, each change pushing them closer to a transformation-induced climax. | kink:transformation
potion_transformation | A transformation triggered by drinking a magical potion, the changes beginning as the liquid hits the stomach and spreading outward through the body in waves. The nature of the change depends on the brew — growth potions, gender-swap draughts, species-change elixirs — with effects that may be temporary or permanent. | kink:transformation
rubber_transformation | A character's body converts to rubber or latex, skin becoming stretchy, bouncy, and impossibly elastic while maintaining a shiny, smooth finish. The rubber body can stretch, compress, inflate, and reshape in ways flesh cannot, blurring the line between living being and manufactured toy. | kink:transformation
shrinking | A character decreases in physical size, their body condensing smaller and smaller as their surroundings grow proportionally enormous around them. The progressive loss of scale strips away power and autonomy, leaving the shrinking character increasingly vulnerable and dependent on the now-giant beings around them. | kink:transformation
size_play | Sexual activity that centres on the difference in physical scale between partners, whether the gap is natural or magically induced. The larger partner can use, carry, pin, or envelop the smaller one with ease, while the smaller partner is overwhelmed by anatomy and proportions that dwarf their entire body. | kink:transformation
slow_transformation | A transformation that progresses gradually over an extended period, with each incremental change noticed and felt by the transforming character. The slow pace allows them to experience every stage — watching their body in mirrors, feeling new sensations emerge, adjusting to each change before the next begins. | kink:transformation
soft_vore | One character swallows another whole and alive without chewing or graphic injury, often with the prey remaining conscious inside the predator's warm, tight body. The swallowed character typically survives in an internal space, feeling the walls pressing around them as the predator's body works around their form. | kink:transformation
soul_vore | A character consumes another's soul, essence, or spiritual energy rather than their physical body, absorbing their very being on a metaphysical level. The consumed soul may empower the predator, remain trapped within them as a conscious prisoner, or dissolve entirely into the consumer's essence. | kink:transformation
species_swap | A character transforms from one species into another — a wolf becoming a dragon, a fox becoming a shark, or any cross-species metamorphosis that replaces one set of traits with another. Fur may give way to scales, hooves reshape into paws, and an entirely new body emerges from the old. | kink:transformation
splitting | A single character divides into two or more copies of themselves, each a complete individual split from the original body. The resulting duplicates may be identical or complementary, and sexual activity between a character and their own split-off selves creates a unique form of self-intimacy. | kink:transformation
stuffing | A character eats excessively until their belly is distended and packed tight with food, swelling outward with each additional mouthful forced in. The stuffed character becomes bloated, heavy, and groaning, their belly stretched to capacity as they're fed past the point of comfort. | kink:transformation
tail_growth | A character sprouts a tail where none existed before, feeling it push from the base of their spine and extend outward as new vertebrae, muscles, and fur or scales form. The new appendage may be prehensile, fluffy, scaled, or barbed, adding an entirely new expressive limb to their body. | kink:transformation
taur_transformation | A character's lower body transforms into a four-legged animal configuration while the humanoid upper body remains, creating a centaur-like taur form. The transformation doubles their body length, adds extra legs, and dramatically changes their proportions, size, and the logistics of any sexual encounter. | kink:transformation
tf | General abbreviation for transformation — any change to a character's physical form, species, gender, size, or anatomy through magical, scientific, or supernatural means. This catch-all tag covers the broad spectrum of body-altering content from subtle shifts to complete metamorphosis. | kink:transformation
thigh_expansion | A character's thighs thicken and swell with increasing mass, growing from toned to dramatically thick pillars that strain clothing and rub together when walking. The expanding thighs frame the genitals between increasingly massive columns of warm, soft flesh. | kink:transformation
unbirth | A character is taken inside another through the vagina, drawn or pushed headfirst into the womb to be fully contained within the other's body. The entering character is engulfed by warm, contracting walls that pull them deeper until they're curled entirely inside, the outer character's belly swelling around them. | kink:transformation
waist_cinching | A character's waist narrows dramatically, cinching inward while hips and chest remain wide or expand further, creating an exaggerated hourglass silhouette. The compression may be from a corset, magic, or transformation, the extreme narrowing emphasising every curve above and below the impossibly thin middle. | kink:transformation
weight_gain | A character's body accumulates fat and mass, thickening and softening as they grow heavier — belly rounding, thighs widening, curves deepening across their increasingly plush frame. The gain may be gradual indulgence or sudden magical effect, with the character adjusting to their softer, heavier body. | kink:transformation
werewolf_transformation | A character undergoes the classic lycanthropic shift — bones cracking and reshaping, fur erupting across skin, muzzle pushing forward, muscles swelling with animal power. The transformation may be agonisingly painful or ecstatically empowering, leaving a powerful hybrid beast where a person stood moments before. | kink:transformation
willing_transformation | A transformation the character actively desires, seeks out, or consents to — drinking the potion eagerly, welcoming the spreading curse with open arms. The willingness adds enthusiasm to every change, with the transforming character savouring each alteration rather than fighting it. | kink:transformation
wing_growth | Wings sprout from a character's back, shoulder blades splitting as new bone and membrane or feathered appendages push outward and unfurl to their full impressive span. The new wings may be bat-like, feathered, insectoid, or draconic, dramatically changing the character's silhouette and sense of freedom. | kink:transformation


================================================================================
E621 IMPORT - 2026-04-15
================================================================================
# Tags imported from e621 dump on 2026-04-15
# These are appended for review; re-sort into appropriate sections later

cuffs | Cuffs | kink:general
dominant | Dominant | kink:power
dominant_male | Dominant male | kink:power
muzzled | Muzzled | kink:gear
submissive | Submissive | kink:power
transformation | Transformation | kink:general


================================================================================
E621 IMPORT v2 - 2026-04-15
================================================================================
# Permissive import: dropped artist/character/modeler/meta categories
# These need re-sorting into appropriate sections

absolute_territory | Visible thigh skin between stockings and skirt | kink:clothing
after_transformation | After a transformation | kink:transformation
air_inflation | Inflation via air | kink:inflation
alternate_body_size | Depicted at a different body size | kink:size
animal_collar | Animal-style collar | kink:gear
ankle_cuffs | Restraints at the ankles | kink:gear
arm_cuffs | Restraints at the arms | kink:gear
